Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeStreak,AwayStreak,HC,AC,Season,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR,HomeGD,AwayGD,HomeForm,AwayForm,HomeStreakWeighted,AwayStreakWeighted,HomeGoals,HomeSOT,HomeCorners,AwayGoals,AwaySOT,AwayCorners,HomeAttackR,HomeMidfieldR,HomeDefenceR,HomeOverallR,AwayAttackR,AwayMidfieldR,AwayDefenceR,AwayOverallR
2023-11-11,Arsenal,Burnley,3,1,H,0.7333333333333333,0.2,3,3,2023,83,84,81,82,73,74,74,74,15,-15,1.583886504,0.5378873793300001,0.6888888888888889,0.3333333333333333,2.8,7.0,0.7866666666666667,0.8,7.0,,83,84,81,82,73,74,74,74
2023-11-11,Crystal Palace,Everton,2,3,A,0.5333333333333333,0.4666666666666667,9,2,2023,75,76,76,76,79,76,75,77,3,0,1.0931883743700002,0.8696171259000002,0.5111111111111111,0.4222222222222222,0.8,4.4,,1.2,4.2,0.4,75,76,76,76,79,76,75,77
2023-11-11,Man United,Luton,1,0,H,0.6,0.3333333333333333,11,3,2023,82,84,82,82,72,71,72,72,-4,-9,1.0042812783,0.7064174553300001,0.5333333333333333,0.4,1.0,6.4,0.48,1.2,4.8,0.24,82,84,82,82,72,71,72,72
2023-11-12,Brighton,Sheffield United,1,1,D,0.4,0.2,6,3,2023,76,78,78,77,69,73,72,72,7,-13,1.0693280691000002,0.5286680848,0.4888888888888889,0.06666666666666667,1.6,4.8,,0.8,3.6,0.05333333333333333,76,78,78,77,69,73,72,72
2023-11-12,Liverpool,Brentford,3,0,H,0.5333333333333333,0.6666666666666666,6,8,2023,84,81,84,83,75,76,76,77,10,6,1.2752423219700004,1.1446285827000002,0.4444444444444444,0.5111111111111111,1.8,6.6,,2.0,5.2,0.36,84,81,84,83,75,76,76,77
2023-11-12,West Ham,Nott'm Forest,3,2,H,0.2,0.2,9,4,2023,77,77,77,78,76,76,75,76,1,-5,0.9066645899999999,0.7938987147000001,0.2,0.2,1.2,4.4,,0.6,4.2,0.3866666666666667,77,77,77,78,76,76,75,76
2023-11-12,Chelsea,Man City,4,4,D,0.6666666666666666,0.6,3,3,2023,78,81,79,81,87,87,84,85,6,19,1.1845563383000002,1.51086869613,0.7333333333333333,0.4,2.4,4.4,0.5066666666666667,2.4,7.2,0.72,78,81,79,81,87,87,84,85
2023-11-25,Man City,Liverpool,1,1,D,0.6666666666666666,0.7333333333333333,9,6,2023,87,87,84,85,84,81,84,83,19,13,1.478237460347,1.3897051802400004,0.6222222222222222,0.6888888888888889,3.0,6.6,0.64,2.2,6.8,0.6399999999999999,87,87,84,85,84,81,84,83
2023-11-25,Burnley,West Ham,1,2,A,0.0,0.4,4,5,2023,73,74,74,74,77,77,77,78,-17,2,0.4840986413970001,0.9860544614699999,0.0,0.3333333333333333,0.6,6.4,0.24,1.6,5.4,0.49333333333333335,73,74,74,74,77,77,77,78
2023-11-25,Luton,Crystal Palace,2,1,H,0.13333333333333333,0.4666666666666667,4,5,2023,72,71,72,72,75,76,76,76,-10,2,0.635775709797,0.9838695369330002,0.1111111111111111,0.5555555555555556,0.8,4.2,0.29333333333333333,1.2,5.6,0.5466666666666666,72,71,72,72,75,76,76,76
